GeneID,GSM2791576,GSM2791580,GSM2791584,GSM2791588
8785,0.1774,0.1329,0.2925,0.1054
11317,0.01778,0.01999,0.1257,0.04756
6385,90.46,124.4,88.03,142.0
90196,9.011,10.61,10.41,11.19
767557,82.64,67.24,99.1,63.97
27296,0.4158,0.4007,0.8395,0.5031
107985404,0.5688,0.4222,0.6218,0.5261
55861,48.87,39.27,57.89,36.33
107985405,24.0,21.27,22.64,22.19
51604,161.5,164.7,141.2,165.8
102465487,7.137,4.011,1.681,0.0
105372631,0.4192,0.09425,1.066,0.2242
10406,1.343,1.66,1.897,0.9575
107987282,0.0,0.0,0.0,0.0
10816,0.0,0.0,0.0,0.0
140870,0.0,0.0,0.1772,0.0
100526773,0.04144,0.0,0.1171,0.0
57119,0.03855,0.0,0.1634,0.0
90199,0.03071,0.06904,0.3038,0.0
259240,0.0,0.0,0.6375,0.0
140832,0.1544,0.0,0.0,0.0
259239,0.0,0.0,0.5248,0.0
280664,0.4313,0.4848,0.6095,0.2563
164237,0.1692,0.1268,0.2391,0.05027
100500897,0.0,0.0,1.362,0.0
140686,2.236,1.902,2.305,1.777
391253,0.0,0.0,1.042,0.0
116092,98.43,159.5,98.51,140.7
11065,504.7,835.6,511.6,749.9
7125,0.0,0.4504,0.1416,0.3572
90203,9.925,8.527,8.623,7.907
10005,38.66,54.82,41.18,53.07
140831,3.892,3.281,3.184,3.447
90204,11.7,8.22,10.17,8.281
128497,0.8604,0.1105,0.6948,0.1972
140825,0.9425,0.2943,0.5919,0.1867
5476,86.71,107.8,73.8,106.7
5360,9.824,13.62,8.078,11.5
107985388,4.398,2.382,4.803,3.03
63935,64.21,58.43,55.65,61.1
63925,11.39,5.95,11.08,9.727
4318,0.06518,0.07327,0.09211,0.0
109729184,0.2336,0.1751,0.1651,0.03471
57468,0.1589,0.06871,0.19,0.0218
105372632,1.747,0.2806,1.764,1.113
57727,50.57,44.91,49.2,68.49
958,11.58,15.31,14.31,16.34
64405,0.01652,0.0,0.09339,0.0
51006,12.37,10.83,11.89,10.2
63916,16.01,13.67,13.68,17.64
