GeneID,GSM2791577,GSM2791581,GSM2791585,GSM2791589
105378683,0.8189,0.2894,0.5904,0.6972
100129924,0.2064,0.06381,0.1952,0.1025
107984946,0.09394,0.0,0.1185,0.112
374969,51.44,22.64,55.01,29.83
114625,6.232,3.92,4.539,4.872
51058,5.888,5.103,5.157,5.229
339539,0.04878,0.03017,0.0,0.0
6513,449.6,379.5,261.5,347.6
440584,2.36,0.6982,1.424,1.162
440585,0.1681,0.4537,0.1735,0.2004
10969,427.7,719.9,466.4,668.9
102465439,3.782,0.0,7.157,1.127
149465,0.5741,0.5778,0.4419,0.5799
105378685,0.1176,0.07275,0.0742,0.09346
128218,0.02282,0.05644,0.02878,0.0
149466,0.0,0.04244,0.0,0.0
7075,0.7943,0.7439,0.5153,0.7844
4352,0.1823,0.1503,0.1073,0.08689
105378687,0.902,0.3099,0.6322,0.2389
991,528.4,666.8,485.7,633.9
64834,227.2,284.1,201.0,263.0
102466723,3.393,1.049,7.49,1.011
112268225,0.03955,0.01631,0.01663,0.01571
112950,48.5,61.25,48.59,67.72
107984947,17.43,21.96,15.48,23.08
23334,10.95,13.71,9.686,13.18
100873952,2.145,1.123,0.8328,1.573
102465440,0.7901,0.0,0.0,0.9417
81888,59.71,90.07,52.22,78.22
5792,77.35,56.0,26.53,73.4
9682,15.69,11.2,12.29,14.16
100132774,5.203,4.034,4.669,5.808
6487,4.34,1.577,3.587,3.285
101929592,0.123,0.0,0.0,0.0
102464830,0.0,0.0,0.0,0.0
9048,6.26,2.899,4.791,5.304
105378688,0.3795,0.0,0.359,0.4522
101929609,4.053,2.486,2.408,3.752
9670,21.58,18.73,12.73,20.65
1802,30.81,26.61,23.68,33.31
533,188.0,205.1,208.4,246.2
8704,52.47,17.91,34.97,29.89
149473,6.313,4.694,4.645,5.06
6536,12.05,9.11,5.16,8.46
107984948,1.418,0.1594,0.7317,0.2304
128209,1.658,1.195,0.8911,1.289
105378952,0.0,0.0,0.02303,0.0
55929,40.53,53.94,34.33,45.77
79033,67.01,61.93,60.99,79.36
100874278,0.4635,0.3185,0.5847,0.6138
